                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9999,                 4.4645,                  4.205,                      0,                      0,                      0,                      0,                  3.133,                 4.1647,                 4.1832,             0.00016429,             0.00016429,             0.00016429
                      2,                 2.8803,                 4.4216,                 4.0296,                0.00172,                0.19664,                0.00154,                0.00031,                 3.6491,                 5.5879,                 4.0981,             0.00031457,             0.00031457,             0.00031457
                      3,                 2.4318,                 4.2072,                 3.4958,                0.37611,                0.18732,                 0.0588,                0.01047,                 3.1692,                 19.622,                 5.4303,             0.00044835,             0.00044835,             0.00044835
                      4,                 1.9215,                 3.8744,                  2.854,                0.18518,                0.29299,                0.07456,                0.02749,                 2.2747,                 5.8843,                 3.6692,             0.00042575,             0.00042575,             0.00042575
                      5,                 1.4538,                 3.4231,                 2.2939,                0.31286,                 0.0479,                0.06602,                0.03153,                 1.1314,                 3.4602,                 2.3689,             0.00042575,             0.00042575,             0.00042575
                      6,                  0.984,                 2.9465,                  1.798,                0.03046,                0.89744,                0.08433,                0.06867,                0.86237,                 2.7153,                 1.7721,               0.000401,               0.000401,               0.000401
                      7,                0.71358,                 2.6891,                 1.4963,                0.19883,                0.86667,                 0.0862,                0.08571,                0.48637,                  2.508,                 1.2845,             0.00037625,             0.00037625,             0.00037625
                      8,                0.55947,                 2.5518,                 1.3198,                0.19869,                0.80875,                0.08438,                0.08327,                0.46245,                 2.5012,                 1.0429,              0.0003515,              0.0003515,              0.0003515
                      9,                0.45745,                 2.4338,                 1.2112,                0.19848,                0.84181,                0.09265,                0.09263,                0.34837,                 2.4148,                0.84886,             0.00032675,             0.00032675,             0.00032675
                     10,                0.40659,                 2.3777,                 1.1482,                0.20051,                0.81333,                0.08987,                0.08983,                0.29011,                 2.3288,                0.73405,               0.000302,               0.000302,               0.000302
                     11,                0.34347,                 2.9342,                 1.2197,                0.19904,                0.84157,                0.12467,                0.12456,                0.26215,                 2.3523,                0.59228,             0.00027725,             0.00027725,             0.00027725
                     12,                0.18552,                 2.5252,                 1.0293,                0.23558,                0.58314,                 0.1656,                0.16533,                 0.2279,                 2.1412,                 0.5108,              0.0002525,              0.0002525,              0.0002525
                     13,                0.13557,                 2.2983,                0.99837,                0.24523,                0.73392,                0.18234,                0.18223,                0.18803,                 2.0527,                0.39123,             0.00022775,             0.00022775,             0.00022775
                     14,                0.11369,                 2.1731,                0.97871,                0.26101,                0.74678,                0.22333,                0.22313,                0.16517,                 1.8703,                0.36645,               0.000203,               0.000203,               0.000203
                     15,                0.11183,                 2.0892,                0.96982,                 0.2787,                0.69957,                0.23945,                0.23928,                0.19308,                 1.8094,                0.38438,             0.00017825,             0.00017825,             0.00017825
                     16,                0.10608,                 2.0427,                0.95683,                0.27709,                0.72234,                0.29179,                0.29169,                0.15546,                 1.7771,                0.34378,              0.0001535,              0.0001535,              0.0001535
                     17,                0.09168,                   1.99,                0.95183,                0.31439,                0.55223,                0.33333,                0.33325,                 0.1421,                 1.7203,                 0.3205,             0.00012875,             0.00012875,             0.00012875
                     18,                0.09023,                  1.955,                0.94749,                0.32756,                0.61812,                0.35229,                0.35221,                0.15175,                 1.6475,                0.33502,               0.000104,               0.000104,               0.000104
                     19,                0.08414,                  1.907,                 0.9517,                0.34881,                 0.5671,                 0.3643,                0.36423,                0.15314,                 1.6104,                0.32631,              7.925e-05,              7.925e-05,              7.925e-05
                     20,                0.08143,                 1.8836,                0.94891,                 0.3647,                0.57612,                0.37899,                0.37882,                0.15111,                 1.5962,                0.32147,               5.45e-05,               5.45e-05,               5.45e-05
