                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0044,                 4.4637,                 4.2024,                0.00013,                0.07692,                0.00016,                  3e-05,                 3.1186,                 4.1788,                 4.1932,             0.00016429,             0.00016429,             0.00016429
                      2,                 2.8678,                 4.4267,                 4.0223,                0.00035,                0.04771,                0.00053,                  6e-05,                 4.0545,                 9.9326,                 4.4616,             0.00031457,             0.00031457,             0.00031457
                      3,                 2.3995,                 4.1848,                 3.4303,                0.00438,                0.26064,                0.00604,                0.00095,                 3.8238,                 124.11,                 7.4787,             0.00044835,             0.00044835,             0.00044835
                      4,                 1.9177,                 3.8773,                 2.7979,                0.21232,                0.29848,                0.10351,                0.04696,                 1.7697,                 8.1797,                 3.3548,             0.00042575,             0.00042575,             0.00042575
                      5,                 1.5043,                 3.4814,                 2.3026,                0.09327,                0.61136,                0.11461,                0.06377,                 1.6018,                 3.5471,                 2.6589,             0.00042575,             0.00042575,             0.00042575
                      6,                 1.0558,                 3.0191,                 1.8416,                  0.066,                0.98157,                0.11772,                0.10211,                0.76887,                  2.741,                 1.6733,               0.000401,               0.000401,               0.000401
                      7,                0.76921,                  2.741,                 1.5321,                0.08139,                0.89966,                0.11351,                0.11193,                0.52514,                 2.4517,                 1.2626,             0.00037625,             0.00037625,             0.00037625
                      8,                0.57974,                  2.577,                 1.3372,                 0.0851,                 0.8357,                0.12847,                0.11822,                0.52619,                 2.4737,                 1.0662,              0.0003515,              0.0003515,              0.0003515
                      9,                0.49368,                  2.465,                 1.2418,                0.05357,                      1,                0.11782,                0.11743,                0.35431,                 2.4132,                0.98364,             0.00032675,             0.00032675,             0.00032675
                     10,                0.42787,                 2.4074,                 1.1663,                0.07735,                0.98872,                0.10486,                0.10462,                0.31894,                 2.3233,                 0.8501,               0.000302,               0.000302,               0.000302
                     11,                0.34718,                 3.0068,                 1.2173,                0.07652,                0.96361,                0.12341,                0.12224,                0.30234,                 2.3832,                0.59872,             0.00027725,             0.00027725,             0.00027725
                     12,                0.20103,                 2.6459,                  1.039,                0.07694,                0.96466,                0.12029,                0.11958,                0.22498,                 2.2811,                0.50127,              0.0002525,              0.0002525,              0.0002525
                     13,                0.15161,                 2.4968,                 1.0067,                0.07653,                0.97861,                 0.1445,                0.14433,                0.19966,                 2.2209,                0.42658,             0.00022775,             0.00022775,             0.00022775
                     14,                0.12232,                 2.3744,                0.98388,                0.07687,                 0.9823,                0.20662,                0.20644,                0.17962,                 2.1107,                0.38543,               0.000203,               0.000203,               0.000203
                     15,                0.11271,                 2.2693,                0.97158,                0.13755,                0.85502,                0.22468,                0.22453,                0.18233,                 1.9385,                0.37111,             0.00017825,             0.00017825,             0.00017825
                     16,                0.10515,                 2.1575,                0.95676,                0.13651,                0.86517,                0.22657,                0.22631,                0.16059,                 1.8409,                0.35138,              0.0001535,              0.0001535,              0.0001535
                     17,                0.09548,                 2.0814,                0.95169,                0.14545,                0.83486,                0.25544,                0.25514,                0.15614,                 1.8031,                0.33148,             0.00012875,             0.00012875,             0.00012875
                     18,                0.09176,                 2.0456,                 0.9466,                 0.1489,                0.82867,                0.29777,                0.29731,                0.15899,                 1.7919,                0.34077,               0.000104,               0.000104,               0.000104
                     19,                 0.0858,                 2.0124,                 0.9514,                0.14993,                0.84762,                0.31922,                0.31883,                0.15181,                 1.7302,                0.32354,              7.925e-05,              7.925e-05,              7.925e-05
                     20,                0.08133,                 1.9823,                0.94688,                 0.1906,                0.76508,                0.36107,                 0.3608,                0.15854,                 1.7408,                0.32566,               5.45e-05,               5.45e-05,               5.45e-05
